COLL_NOM,COLL_SIRET,NOM_MUSEE,ANNEE,NB_ENTREES_PAYANTES,NB_ENTREES_GRATUITES,NB_TOTAL_ENTREES,OBSERVATIONS
Antibes,21060004500012,Musée d'Archéologie,2001,3403,6618,10021,
Antibes,21060004500012,Musée d'Archéologie,2002,4819,7703,12522,
Antibes,21060004500012,Musée d'Archéologie,2003,3842,4677,8519,
Antibes,21060004500012,Musée d'Archéologie,2004,3371,4040,7411,
Antibes,21060004500012,Musée d'Archéologie,2005,2042,2970,5012,
Antibes,21060004500012,Musée d'Archéologie,2006,3105,4412,7517,
Antibes,21060004500012,Musée d'Archéologie,2007,3206,4896,8102,
Antibes,21060004500012,Musée d'Archéologie,2008,4116,6429,10545,
Antibes,21060004500012,Musée d'Archéologie,2009,3637,4768,8405,
Antibes,21060004500012,Musée d'Archéologie,2010,2683,3149,5832,
Antibes,21060004500012,Musée d'Archéologie,2011,4697,4274,8971,
Antibes,21060004500012,Musée d'Archéologie,2012,3842,5275,9117,
Antibes,21060004500012,Musée d'Archéologie,2013,4173,4444,8617,
Antibes,21060004500012,Musée d'Archéologie,2014,5068,4261,9329,
Antibes,21060004500012,Musée d'Archéologie,2015,4988,4872,9860,
Antibes,21060004500012,Musée d'Archéologie,2016,4996,5571,10567,
Antibes,21060004500012,Musée d'Archéologie,2017,5412,6175,11587,
Antibes,21060004500012,Musée d'Archéologie,2018,5729,4406,10135,
Antibes,21060004500012,Musée d'Archéologie,2019,5872,4929,10801,
Antibes,21060004500012,Musée d'Archéologie,2020,2035,2027,4062,
Antibes,21060004500012,Musée d'Archéologie,2021,3187,2446,5633,
Antibes,21060004500012,Musée d'Archéologie,2022,5670,4395,10065,
Antibes,21060004500012,Musée d'Archéologie,2023,6999,5123,12122,
Antibes,21060004500012,Musée d'Archéologie,2024,7330,5776,13106,
Antibes,21060004500012,Musée Picasso,2001,147430,0,147430,
Antibes,21060004500012,Musée Picasso,2002,131977,32984,164961,
Antibes,21060004500012,Musée Picasso,2003,101221,31365,132586,
Antibes,21060004500012,Musée Picasso,2004,133458,0,133458,
Antibes,21060004500012,Musée Picasso,2005,128757,41619,170376,
Antibes,21060004500012,Musée Picasso,2006,0,0,0,Musée fermé pour une importante campagne de rénovation
Antibes,21060004500012,Musée Picasso,2007,0,0,0,Musée fermé pour une importante campagne de rénovation
Antibes,21060004500012,Musée Picasso,2008,71669,27854,99523,
Antibes,21060004500012,Musée Picasso,2009,85663,45937,131600,
Antibes,21060004500012,Musée Picasso,2010,83158,49810,132968,
Antibes,21060004500012,Musée Picasso,2011,79518,46662,126180,
Antibes,21060004500012,Musée Picasso,2012,79517,43523,123040,
Antibes,21060004500012,Musée Picasso,2013,85728,43366,129094,
Antibes,21060004500012,Musée Picasso,2014,113493,44483,157976,
Antibes,21060004500012,Musée Picasso,2015,97365,43719,141084,
Antibes,21060004500012,Musée Picasso,2016,80818,39859,120677,
Antibes,21060004500012,Musée Picasso,2017,84208,38980,123188,
Antibes,21060004500012,Musée Picasso,2018,71844,42985,114829,
Antibes,21060004500012,Musée Picasso,2019,82834,48649,131483,
Antibes,21060004500012,Musée Picasso,2020,43175,0,43175,
Antibes,21060004500012,Musée Picasso,2021,48479,24351,72830,
Antibes,21060004500012,Musée Picasso,2022,103778,46701,150479,
Antibes,21060004500012,Musée Picasso,2023,130438,58441,188878,
Antibes,21060004500012,Musée Picasso,2024,130565,53519,184084,
